name,description,latitude,longitude,max_occupancy,num_bathrooms,num_bedrooms,num_beds,price,comment1,comment2,comment3
"Soco, Barton Springs Private Guest Cottage","MONTHLY Short Term Located in the awesome Bouldin Creek ""hood."" This private Guest apartment is quiet yet close to the action! Just 1.5 south of downtown. Bike or walk to eateries, shopping, the So/Co district, Lady Bird Lake, beautiful BARTON SPRINGS/Zilker Park, beer gardens, bars, land live music venues.  Public transportation is on the corner.The spaceHip area in old South Central Austin (SoCo)Just 5 minutes south of downtown. 5 minutes or so to Lady Bird Lake, Auditorium Shores, Hike and Bike Trail, Zilker Park/Barton Springs, live music, cafes/restaurants, Alamo Draft House. Furnished private guest apt. 1 bedroom, 1 bathroom. Kitchen appliances, Fridgerator with Ice Maker, Vintage gas Stove, Coffee Maker, microwave  and housewares.  Small backyard and deck. Sleeps 2 (1 queen bed in the bedroom and a day bed in the living area)30 minutes from beautiful Lake Travis and the beautiful Texas Hill Country.20 minutes fro",30.2463,-97.76361,2,1.5,1,1,$46.00 ,"Perfect apartment in a Hilton apartment hotel. Nice and clean, magnificent view. Jaccuzi, high standard, kitchen with everything you need. Couldn't with more than that. Highly recommended if you don't want to pay more and do not need housekeeping. ","We stayed here for 5 days during our two week trip to America on our honeymoon and it was without a doubt the best accommodation of the trip. The apartment is huge and great that it's located within the hotel as we had use of the pool area and the bar downstairs. The location is perfect right on the beach and there are loads of amazing restaurants nearby to eat at. Fort Lauderdale itself is a great place to visit but having a great place like this to come back to made it even better! 

Thanks Karim 

Hannah & Stephen ",Great value. Wonderful location. Would stay again.
NW Austin Room,"The spaceLooking for a comfortable inexpensive room to stay for a night?  A week or more?  Join us in our northwest Austin home where the house is tidy, nicely decorated and we are friendly, responsible, courteous hosts. Single or couples welcome.  I have one small, very shy and quiet dog and we welcome travelers from all over.  You can enjoy your coffee in the morning on the deck with a large backyard, or in the dining area.  Your own Parking spot can be found in front of the house on the granite gravel driveway just beside the mailbox.  The bedroom available in this listing accommodates two persons on a queen bed.   It is next to my study and craft room that sometimes serves as another guest room for a visiting family member or friend but rarely have anyone stay unless I decide to open up this additional space for SXSW, ACL, etc.  This room listing is my primary listing but wanted you to be aware of the 2nd bedroom that may on rare occasions be occupied by an",30.45697,-97.78422,2,1,1,1,$39.00 ,"We came all the way from British Columbia Canada to experience Ft. Lauderdale and were very happy with our accommodations and location!  The room, amenities and beach were amazing.  The staff at the hotel were very friendly and we did not want or need for anything.  Check-in was a breeze and the room was clean and comfortable.  Hilton is not far from shopping, restaurants, snorkeling, fishing or tours.  Definitely go to the Cheese Culture on Las Olas, Lester's Diner, Giorgio's on 17th Street and The Local House in Miami Beach.  ","Everything was pretty much as I expected based on description and reviews.
It is a lovely condo inside the Hilton, so you have access to hotel amenities.  It has a very comfy bed and a great view.  There is construction going on right below the balcony.  They did seem to stop around 5 (but start at 7am; didn't effect me as I was in a conference) but it would have otherwise.  So might wanna find out the status of that.
Otherwise, all goes smoothly and it's nice to check in anytime (hotel style) and I had a great stay there and in Ft. Lauderdale.  And last minute booking, it was less expensive than comparable hotels, for sure!
ps.  great that there's beach chairs and umbrella to take down so you can avoiding  renting them:)",Location is very convenient. Owner is very easy to get into contact with and is very helpful. Would come back again
Gem of a Studio near Downtown,"Great studio apartment, perfect a single person or a couples. Just 1 mile into downtown. Convenient for walking, biking, rideshare or busing into downtown, UT campus and other central Austin spots. Close to Dell Seton Medical Center and St. David's hospitals. Walk to the 10-mile looped Town Lake Trail. Airy space with very nice amenities, fresh coffee beans and a private patio.The spaceAvailable as a monthly rental now.Large, contemporary studio apartment available for monthly and short-term corporate rentals. It's just south of the river and walkable to much of Austin's downtown scene.Our studio apartment sits above the garage and is detached from our main house. It's nicely appointed with plenty of modern amenities. A 37"" HDTV with DirecTV Now, Netflix, Amazon, etc., nice cotton sheets, a full kitchen, great private patio with lounge chairs and umbrella, broadband wi-fi, a full bath and shower with its own tankless water heater and mor",30.24829,-97.73726,2,1,,1,$99.00 ,"We had an amazing trip! This is a terrific suite (exactly as depicted) with a breathtaking view of the ocean, beach, and part of the city. The resort is very nice, and the pool overlooks the ocean. Karim answered every question promptly, and management even called to check on us to make sure everything was absolutely perfect. We definitely recommend this AirBnB! Five stars!","Such a great spot for a get-away. Fantastic location, awesome view and quick responses to inquiries. ","We had a wonderful time!  The unit is spacious, comfortable and has a great view."
Secluded Studio at Barton Springs,"Clean, private space with everything you need for a quiet, comfortable, private stay close to Barton Springs, the river, parks, trails, and downtown. Quality furnishings and amenities will make you feel like you're staying at home rather than in a rental or hotel. We clean after guests leave and we disinfect surfaces to kill germs/viruses. We also offer contactless check-in/checkout and leave a day between bookings.**Note that CoA tax will be collected at checkin (see below)**The spaceStay in our lovely 1 bedroom garage apartment and enjoy the quiet of our 78704 'hood while being close-in for all the fun!Walking distance to Austin's outdoor spaces and downtown. Zilker Park, Barton Springs pool, Barton Creek green belt/trails, Hike and Bike trail, and other outdoor entertainment all within one mile. 5-10 min walk to restaurants with outdoor seating (Chuy's, Juliet, Ski Shores) and Barton Springs Bike Rental. Want more? 20 minute walk into",30.26027,-97.76503,3,1,1,2,$139.00 ,The condo is in a great spot with a great view. Very clean. Karim responded quickly to all of our questions.,The Rental Process was smooth - and Karim provided all necessary information.  The condo was as advertised and quite nice.  Great view and balcony - and very nice master bed and bathroom.  Pull out couch was not suitable for our two kids (10 and 13) to sleep on together - small and not comfortable (kinda what you would expect for a pull out couch such as this...)   Would be fine for one child (we put the mattress on the floor for our older daughter) but would not recommend for adults or multiple people.  Good service provided by the hotel as needed...and access to all of the resort's amenities.  Would definitely recommend.,"Great and comfortable space. The balcony is great to listen to the waves. Better views than pictures. The pool area is great and easy to get to nearby food. We used Uber and Lyft and skipped a car rental. For the day we did rent a car, we just rented from a nearby Avis and returned late at night to skip dealing with parking. Overall fantastic! Not a big deal to us, but there is construction next door as they build a new residence building. Something to keep in mind as they started at 730 am."
Blue Boy Club House / Music Venue,"This property is a 3 bdr 2 bath in south Austin that has a country/park like feeling.  It can be rented for up to 6 people for multiple nights ($300 per night) or for larger events ($500 per night for 50 people single night allowed ) with use of the stage for a dj/live band etc for birthday parties, house parties, celebrations etc.  Outdoor music can play until around 10 pm.  There is plenty of parking, outdoor facilities and a huge stage and party pit.  There will be a walkthrough for events.The spaceWhat stands out here is that the property is very large with huge trees a stage and party pit plus a very large above ground pool and a sauna.  It is very private yet very close to shopping, restaurants etc.  Sorry but pets are not allowed.  The interior has been recently updated (new paint, floors etc)  in September 2019.Guest accessGuest will have access to the pool (summer only) the stage (when prearranged) and a huge yard plus access t",30.15645,-97.82411,6,2,3,3,$300.00 ,"We had a wonderful time!  The condo is spacious, comfortable and you can can gaze at the ocean.   We walked across the street to the beach and also to restaurants - the location is great.  ","This is an excellent condo, in a terrific hotel.  The location is perfect, right across the street from the beach.  The apartment is comfortable, nicely furnished, with a kitchenette and a big bathroom, with jacuzzi tub.  I stayed here with my husband and 2 kids (ages 9 and 11), with two of us on the fold-out couch - it worked out perfectly.  Nice view of the ocean, nice balcony.  Also a good gym, nice pool, and Starbucks in the lobby - perfect getaway.  Karim was very responsive and helpful, and the staff at hotel was there to troubleshoot any issues as well.  Highly recommend.","We rented through Karim at the last minute after getting let down by another Private Owner in the same building. Initially Karim couldn't accommodate us as he needs 24hrs notice and we were giving 24 mins notice! He went above and beyond and managed to get us in that night. For that I am very grateful. He responded really well with comms through the app as well. 

The apartment is nice. Good view. It's North facing though so the amount of sun is limited. 

The Hilton is overpriced for what it is. It was busy though so maybe it just wasn't to my tastes. 

The parking is $45 per day I think in the hotel. There is a group of hotels called the North Ocean Hotels. They allow you to park in their hotels for $10 per day. You can use any of them. I paid at one and then parked at the Aqua that is just across the road. That makes staying here a little less expensive. 

All in I would recommend Karim and his apartment. "
Quiet and Chic Mid-Century Retreat with Yard.,"Indulge in BBQ on the spacious patio, or enjoy the full chef's kitchen featuring a waterfall island that opens to the living room. Fully equipped and centrally located, this chic Austin home is an ideal base from which to both explore and unwind.",30.24417,-97.73988,5,1,2,2,$165.00 ,"Perfect apartment in a Hilton apartment hotel. Nice and clean, magnificent view. Jaccuzi, high standard, kitchen with everything you need. Couldn't with more than that. Highly recommended if you don't want to pay more and do not need housekeeping. ","We had another great vacation staying in Karim's Condo.  The space is comfortable and has a great view of the ocean.  The hotel is wonderfully located, across the street from the beach.  It is walkable to restaurants and stores, but also has very good food in it's several restaurants.  This was our third year here, and we just loved the experience.","You will truly enjoy your living arrangements if you book this condo!!  The view is priceless and the bed is s (Phone number hidden by Airbnb) comfortable that you'll have to make yourself get out of it.  Being able to walk to the beach and lots of local happenings was wonderful, as I really didn't want to worry about driving.  The hotel staff were all really incredible and so friendly.    I also enjoyed being able to grab beach chairs and an umbrella from the closet (provided for you) and heading across the street to the beach.  I don't think there's one thing you'd regret if you book this condo.  I plan to book this condo again upon my return to the area!!!"
"Private Pool, Non Smoking, Pet Friendly, Central","Quaint guest house is pet friendly with a private pool, off-street parking, Central Austin/West Campus area, located within walking distance to UT & convenient to downtown and live music venues. Tobacco-free property. Monthly stays only.The spaceLocated only a few blocks from the University of Texas in the West Campus area and just minutes from downtown, this cute and comfortable smoke-free 2BR/1BA house is right in the heart of Austin. The guest house is located on the second floor on the back of the lot. (See photos for full view of house and carport.) The master bedroom has a king size bed & overlooks the large swimming pool & heated spa. Second bedroom has one full/double bed, one twin bed, and a TV with satellite. Kitchen is fully equipped and gigabit wireless Internet is available - even by the pool. Plenty of off-street parking and convenient to shopping, music venues, and most major tourist attractions. House is in a quiet neighborhood with lots of tree",30.29422,-97.74618,4,1,2,4,$220.00 ,"My wife and I decided to stay at this suite and contacted Karim. He contacted us the same day letting us know that this place was not available,but he did contact us later offering us another suite in the hotel, which we accepted right away. Communication with Karim great. He always got back to us in a timely manner.Instructions on how to check in were easy and check in went smoothly. When we opened the door to the suite, we were blown away by the view, and how great the suite was. Everything described about the suite is spot on. Getting to the beach is so easy, go out the door, cross A1A and boom, you're there. Getting around town if you don't have a vehicle is easy, you can go by foot, taxi(which are abundant) or the Sun Trolley. But if you do drive, be prepared to pay $32.95 a night  for valet parking. We had a great time in the beautiful city of Ft. Lauderdale!","My family and I absolutely loved our stay at this hotel suite. The suite itself has fabulous views and easily accommodated the four of us. In addition, the property is extremely family-friendly and allowed us to combine the best of beach, resort, and private vacations -- all about 100 feet from the Atlantic Ocean beach. We really enjoyed this stay.",Great place at a great location. Can't wait for my next trip to Fort Lauderdale I will definitely keep this place in mind.
Oceanview luxury hotel suite,"Luxury property located in the heart of the Ft. Lauderdale beach. This hotel/condo offers amazing ocean views and comes with all the amenities of a luxury resort such as a ocean front infinity edge pool, beach cabanas, fitness center/spa. All the comforts of home and a glorious ocean view are waiting. Located on the 21st floor the 1 bedroom suite boosts a private balcony and stainless steel kitchen. Designer furniture, 750 sq feet of living space along with a cushy King sized bed in the master bedroom ensures an indulgent and restful stay. Living room offers a full sofa bed. Guests also receive access to the Hotel Pool, Hot Tub, Q Spa and Fitness Room. Can't beat the location. The Fort Lauderdale Beach Resort is located on the shoreline of Fort Lauderdale's exclusive north beach, between the palm-shaded boulevards of Sunrise and Las Olas and minutes from the Fort Lauderdale/Hollywood International Airport, chic shopping, attractions for all ages, and exquisite dining options.  Enjoy a ",26.12814,-80.10259,4,1,1,2,$199.00 ,"I cannot rave enough about this place! My boyfriend and I enjoyed 5 nights in Karim's unit at the Hilton and hope to come back as soon as we can! Aside from not being able to charge anything to the room and not having maid service (no big deal), we were treated like regular guests at the Hilton with full access to all amenities. The kitchenette allowed us to stock up the mini-fridge and eat some meals on our balcony, which overlooks the ocean while shielding us from the wind - just perfect! The place was spacious, and you could even visit as a family since we discovered that the couch had a pull-out double bed. Karim was also kind enough to allow us to check out in the late afternoon since we were on a nighttime flight back home which was a huge help! The pool at the Hilton is beautiful and you don't get closer to the beach than this. The place is exactly as described and there is plenty in the neighbourhood to keep you entertained. On the one rainy day we had, we walked over the Enterprise car rental one block over and rented a car to go do some shopping at Sawgrass Mills....otherwise there was really no need for one, especially since parking at the Hilton is so pricey. We loved our stay here!","Amazing location and beautiful Condo in an upscale location right on the Ft Lauderdale beach.   Very helpful hotel staff with  Starbucks and great restaurants in hotel and nearby.  Karim is responsive and on top of any questions that come up.

Highly recommend!",A few hiccups checking in (hotel staff is not very good at handling residence guests or unusual issues/changes) but host overall is extremely responsive and maintains excellent communication.  Wonderful location and hotel has very nice amenities.
PRIVATE HOUSE NEAR BEACH SLEEP 5,"Beautifully private duplex that allows you to enjoy the zen of life!  Watch the neighbors walking their pets...jogging near the lake...or riding their bikes, or join in and jog to the beach!  If you don't want to disconnect...we have WIFI! Please note:  Since this is my home, I only rent to people who aren't afraid to put a validated picture/profile (that AIRBNB has verified) on their page before I decide. Don't hide who you are... Peaceful house on Nature Preserve Close to everything. Hollywood, Florida Vacation Rental, South East, Florida, USA  Accommodations: 2 bedrooms and 1 full bathrooms. This house has a living room with a leather sectional and a beautiful fireplace (even though it's Florida). Beautifully loaded kitchen w/granite countertops and bar, Dining Room, Living room. Tres Chique!   New flat screen TV.  Can sleep 4.   This precious house is located on a quiet street. There is beautiful walking, jogging and biking in very scenic residential neighborhoods. Holland Park is ",26.0167,-80.12437,5,1,2,3,$162.00 ,"A most beautiful and comfortable apartment in a great hotel and setting. Karim was always there to answer our questions and be helpful, 24/7. We had a wonderful stay - thank you Karim. Highly recommended!!!",Karim is a great host. The place was excellent. Amazing location and lots of amenities. Beautiful ocean view from the condo. Would stay there again! ,"The view from this unit is spectacular and the proximity to the beach, restaurants, etc is fantastic. We would definitely come back. We loved the amenities at the hotel as well."
2 bd/2ba Oceanfront Condo,"Beautiful and meticulous 2 master suite luxury oceanfront condo fully furnished and equipped with WIFI, digital cable and unlimited long distance in the US and Canada. Building is full of amenities including tennis court, swimming pool, jacuzzi, workout room, covered and valet parking, direct beach access. Conveniently located in Hallandale Beach between Miami and Fort Lauderdale, you're just minutes from two international airports, two seaports, as well as world-class shopping at Bal Harbour and Aventura. And just minutes away from Hollywood Beach Boardwalk, one of the five best boardwalks in the country as ranked by Travel & Leisure. Minimum rental is 30 days.  Available beginning May 1st, 2011. Call for additional details.  ",25.9784,-80.12028,6,2,2,4,$100.00 ,"The listing was exactly as described.  In fact, it far exceeded our expectations!  The property itself is lovely and ""ready to live in.""  There is a fabulous view of both the intra-coastal waterway to your left and the ocean to your right as the property is on the side of the building.  This makes it very breezy and comfortable to use the table/chair unit outside.  The main living area is spacious and the bathroom has double sinks and great makeup lighting.  There is also a cubed all-glass rainwater shower in the corner that I loved.  Of course, it was a difficult choice between that and the jacuzzi tub!  A safe in the closed of the bedroom was a nice touch as was the washer/dryer unit.  There is just enough kitchen space to make small meals and all the utensils/cookings items there to do so.  The people on the Hilton property are outstanding hosts, too: everyone was exceptionally friendly.  The location is excellent and we truly relaxed and enjoyed ourselves.  This is our new pre- and post-cruise spot from now on!  I'll probably ask to return before the summer is over to just hang out with a few girlfriends before we return to teaching.  We can just hang by that lovely pool area!","Karim is an outstanding host and extremely responsive.  The location is perfect for Ft. Lauderdale beach, has spectacular views and access to the amenities of the Hilton (pool, gym, etc.).  The place is very clean, neat and comfortable.  Thanks for the great stay!","It was the first trip to Miami for most of us in my group of 6 and we couldn't have gotten a more spacious and convenient place to stay! It had fully equipped kitchen and laundry room. The place was close to the beach, a decent distance from Miami downtown and also to other restaurants and stores. And not to mention Hard Rock casino within 10 mins distance, if you are feeling lucky ;)  We also had a nice welcome wine waiting for us :) 

The house was very spacious, with 3 big rooms and a nice lawn. The owners were very receptive to any issues we had. Overall, a great place to stay and nice owners!

I would highly recommend this place for everyone to stay."
MARY POP APTS 2/1 APT SLEEP 5,"MARY POP APARTMENTS 1&2 BEDROOM SUITES ACCOMMODATION 1-5 PEOPLE, WE ARE OFFERING TEMPORARY ACCOMMODATIONS SHORT TERM, LONGER TERM UP TO 6 MONTHS , VACATIONERS, RELOCATIONS FROM OTHER SATES OR COUNTRIES TO SOUTH FLORIDA, CORPORATE HOUSING, NOTE: WE ARE HERE TO HELP YOU . TEMPORARY ACCOMMODATION, VACATION RENTALS, CORPORATE HOUSING, RELOCATIONS, HOUSING FOR TRAVELING NURSES,  HOUSING FOR STUDENTS, CONTACT US FOR DETAILS   RENOVATED 2 BEDROOM 1 BATH APARTMENT 900 SQ FT.  MARY POP APARTMENTS 29 E SHERIDAN ST, DANIA BEACH FL  FREE TRANSPORTATION TO FORT LAUDERDALE AIRPORT AND PORT EVERGLADES FREE BIKES TO THE BEACH   HOTEL RATES IN THIS AREA ARE $100-$150/NIGHT FOR 1 ROOM, MARY POP APARTMENTS IS OFFERING 4 ROOMS FOR LESS Activities  Pier Fishing  Medical Services  Massage Therapist  Kayaking  Snorkeling  Scuba Diving Or Snorkeling  ATM/Bank  Fitness Center  Shopping  Laundromat  Hospital  Groceries  Swimming  Racquetball  Snorkeling/Diving  Jet Skiing  Golf  Water Skiing  Sailing  Basketbal",26.03392,-80.14201,5,1,2,3,$90.00 ,"Loved it. Exactly the way it was described. It is also within walking distance to a Publix grocery store, and if you don't want to carry the bags back you can take the Sun Trolley for $1. Overall we had a fantastic time and would love to come back again. ",An appt was awesome. Infrastructure and room service were great. Location is very good. The ocean is clean.,"Wonderful!  Janice was a pleasure to work with and very accommodating!  The home was clean, had everything we needed to enjoy our stay and was convenient to local shopping and beaches.  Will definitely use this listing again for my next visit.  "
House in the Ranches,"Close to Cleveland Clinic Hospital and mayor highways - I75, Turnpike, I595. Ranches location, super quite, but close to everything! Supermarkets, malls, all at 15' distance and Ft Lauderdale and Miami airport about 30' away! Great location, close to most highways in the area (I-75, 595, Sawgrass Expressway). 30 minutes from the Miami Airport and Fort lauderdale Airport. 15' from Sawgrass mall and shops at Pines Blvd. House have all you need to leave in, full kitchen, laundry equipped with washer and dryer, nice pool and very cozy house! There is a swimming pool and barbecue outside to relax! It is a horse/farm like community, all around us are 1.15 acre lot so you don't really see the neighbors. You feel like you are in the farm staying convenient located close to all mayor places in the area like Miami, Art District, Ft Lauderdale area and beaches, Museums, Theaters all at or about 30 minutes distance. About a mile away there is a nice theater, little center with supermarket, cafes, ",26.04678,-80.36809,5,2,3,3,$235.00 ,"We had a fantastic  stay at Karims condo. Good space, washing machine, great view and close to everything. The staff at Hilton treated us as regular guests. Karim and Gary was taking care of us from we booked the condo, and until we left. They also gave us good recommendations on Restaurants - Chima was a success for the whole family.  We will definately come back!",,"Janice was a wonderful host.  Very accommodating, always willing to help and able to provide many recommendations for things to do in the area.  The home is right near the inter-coastal, which is beautiful.  The block is also very quiet and a mile from the beach.  The home is three bedrooms, big living room and two bathrooms.  Plenty of space for a small or large group.  We look forward to renting from Janice again in the near future!!!"
MIAMI - LUXURY APARTMENT OVER BEACH,"The apartment is located in an amazing building over the beach. it has private access to the beach.  the building counts with: heated pool over the beach private access to the beach gymn with new machines with view to the beach reading room Jacuzzi BBQ area near by the pool Valet parking with parking already included in price Washing and drying machines in every floor UNIT (Phone number hidden by Airbnb) : 2 bedrooms. 150 squared meters CAPACITY: 8 pax The apartment counts with: Internet (wifi and cable) Master bedroom with king bed, in suite bathroom and dressing room. LED TV in both bedrooms with cable. Secondary bedroom with king size bed and extra single sofa bed Second bathroom totally equiped.  Big living room with a sofa bed for two extra pax An extra air bed Dining room for up to 8 people Kitchen totally equiped for 8 (coffee machine, microwave, oven, dishwasher, etc) It has linen and towels, and pool towels for all the guests. Panoramic view to intercoastal from bedrooms and l",25.99332,-80.11887,7,2,2,5,$250.00 ,Karim and his team were awesome!  Great communication. Excellent space!  We had a wonderful time and will most certainly be back. ,"We were very disappointed with this rental. When we arrived, it was filthy: rotten food in the fridge, dirty dishes, cereal in the sofa bed; broken glass on the balcony.  While we called and were able to receive housekeeping that evening, no one was apologetic and the cleaning we received was cursory. The condo is dirty. The walls are dirty; the upholstery smells.  Our experience was tainted by this residual dirt. 

The listing states that renters are not entitled to Hilton guest services, but there aren't enough towels for a family of four at the beach for a week, and zero information on laundry. So, we availed ourselves of housekeeping which felt awkward but was required. 

The view from the balcony includes a bit of ocean, an empty lot that will soon be a construction site, and a fully built but empty hotel. Not relaxing. 

Overall, very disappointing and kind of gross. ","Janice is an fine host. She was very prompt on communications. The house was clean and we found it to suit our needs in South Florida. It is recently updated with new appliances .The area is very nice and we always felt safe. There was no internet access , and running a web based business , it became a issue. The television was dated . This was only a problem because we watched the Super Bowl there ! All in all we had a great stay !!  "
MIAMI - AMAZING APARTMENT OCEANVIEW,"The apartment is located in an amazing building over the beach. it has private access to the beach.  the building counts with: heated pool over the beach private access to the beach gymn with new machines with view to the beach reading room Jacuzzi BBQ area near by the pool Valet parking with parking already included in price Washing and drying machines in every floor UNIT (Phone number hidden by Airbnb) : 1 bedrooms. 90 squared meters CAPACITY: 6 pax The apartment counts with: Internet (wifi and cable) Master bedroom with queen bed, in suite bathroom and dressing room. LED TV in bedroom with cable. Toilette Big living room with queen size sofa bed and a single sofa bed extra queen size air bed available LCD TV in living room with cable and DVD. Dining room for up to 6 people Kitchen totally equiped for 6 (coffee machine, microwave, oven, dishwasher, etc) It has linen and towels, and pool towels for all the guests. link for more pictures  (Website hidden by Airbnb)  UNIT MINIMUM STAY O",25.99416,-80.11969,5,1.5,1,2,$250.00 ,Excellent hotel location. Service was good. Karim  responded fast and gary was always present to help and always calls to check if we needed something. Would recommand ,"Great Condo and Fantastic location. We had a super stay and can recommend the place to others.

","Nice place in an excellent, peaceful and family friendly neighborhood.  Janice was easy to communicate with and helpful with our needs.  This place provides a great alternative to a hotel for a larger family.  "
Lakefront Pool Home -Fort Lauderdale,"Large bedroom with bamboo flooring, gorgeous carved wood Queen bed, walk in closet and soaring volume ceiling (adjacent room/office available if needed). Full bath/shower, laundry room, large kitchen, indoor and outdoor lakefront dining, heated pool/hot tub on the lake with beautiful sunset views.   House well maintained, quiet and clean. Friendly, adorable dogs on premises. Home also wheelchair accessible, ramped entry, pool lift, shower bench available. ADA height toilet. Rent per night or for long term (discounted): Fully elegantly furnished home..you have 1 private room with Queen Bed,  1 full bath (shower/Tub) and 1 half bath plus access to a private office space in a luxurious 3900 square ft Lakefront home. Heated Pool/Hot Tub -Jacuzzi, Guard gated community, centrally located near Parks, beaches, tennis, golf (minutes from Bonaventure Golf and Country Club, spas, Town Center, parks and biking/walking paths ) and Shopping, (Sawgrass Mall!) and restaurants galore.    The City of W",26.10698,-80.37118,4,1.5,1,1,$55.00 ,Very nice condo. All as described. Nothing negative to say. Karim is friendly and very reliable.,Excellent experience! Great location! ,Jon & Janice's place was absolutely beautiful. They were a pleasure to rent from and I'll definitely consider stayng here again.
CODY PLACE  15 minutes from the Beach and Stadium,"Beautiful four bedroom two bathroom house, with WIFI. Disabled-friendly home with wheelchair accessible ramp for easy access in/out; Roll-in shower with grab bars. My place is close to restaurants and dining, the beach, great views, family-friendly activities, and nightlife including the Hard Rock Casino. You'll love my place because of the views, the location, the people, and the ambiance. My place is good for couples, solo adventurers, business travelers, families, and big groups Disabled-friendly home with wheelchair accessible ramp for easy access in/out; roll-in shower with grab bars... Very quiet neighborhood, close to University Drive and all Major Highway..... Wireless Internet is included.... Tennis, racquet ball, basket ball, just bring your gears.... Close to the Beaches,Parks,Malls, Publix Supermarket, Laundry Facilities Churches and the Hard Rock. There are some amazing places to get food like Josh's Organic Garden which is a fantastic farmer's market. Hollywood Vine has s",26.0383,-80.23558,4,2,4,6,$159.00 ,"Ein sehr schönes Apartement. Gut eingerichteter Küche, etwas eng aber sauber und zweckmässig. Konfortablen grosses Bed sauber angezogen. Es hat eine Waschmaschine integrierter Tumbler, was wir aber nicht benützen. Tresses mit einem sehr schönen Ausblick auf das offene Meer. Pool anlage etwas Überfüllt und laut. Am Beach kann man Liegen  mit Sonnenschirm mieten, 50 $ / Tag fr 2 Personen, Badcher drink Wasser inclusive. Es hat uns gut gefallen, gerne wieder ein anderes mal  Hanspeter","I was skeptical about renting a private apartment. 
Usually we stay at hotels.

But I must admit that Karim's description was fair and clear. 
And the view was amazing. Just like in the pictures. No cheating. 
The balcony was a little smaller than we expected, but it did not matter.

2 times we need help. Both times the problem was solved quickly and smoothly.

The one time it was settled by one of the owners, Denise. Quickly and professionally.

Similarly, when Gary Fong should help us with a basin there virkde. And he solved it quickly and effectively. We met Gary personally - he is a trustworthy and friendly person you can trust.

And thanks for the tip to park at North Beach Hotel at half price. And we parked only 100 meters from the entrance to the Hilton.

We just got back to Denmark - and can only say that we were happy to stay 14 days in this beautiful apartment.

We recommend this apartment to anyone 
- except in the periods we would like to rent it - SMILING  :-)

Hanni and Rolf Hoegh
Denmark","We are 5 people ( 35/45) from France and we stayed in Jon and Janice house for 3 nights but we could have stayed there forever - it was just perfect.  Facilities are wonderful, everything was clean and tip top when we arrived. The kitchen was very well equipped. The house is super spacious, beds are comfortable..
What an adorable place! This area is beautiful, and near the beach..
We will definitely be back, hope in october.. Thanks Janice ! 



"
Tropical Beach Paradise Awaits You,"Imagine being one block from the ocean in an area with one of the prettiest beaches in the United States and staying in a large, spacious room with a full kitchen and walk-in closet.  You do not have to imagine any longer. Come and stay with us. Imagine being one block from the ocean in an area with one of the prettiest beaches in the United States and staying in a large, spacious room with a full kitchen and walk-in closet. You do not have to imagine any longer. Come and stay at the beautiful Ocean Pearl Motel, where you will be treated not like a guest, but as a friend. We are located in Deerfield Beach, which is one mile South of Boca Raton and 15 minutes North of Fort Lauderdale Airport. We are pet friendly and also offer monthly rates. ",26.30647,-80.07824,4,1,1,2,$119.00 ,"If your gong to stay in Fort Lauderdale, this is the only place you need to look at! Nothing short of fabulous. Right on the beach with spectacular views of both beach and intercoastal waterways, this apartment has it all. Lovely large balcony to enjoy the sunrise while having breakfast, or an evening drink to enjoy the sunset at the end of the day. Small kitchen that has everything you need to cut costs of eating out, large living, bedrooms and bathrooms. Can easily accommodate a family of four, or six if you don't mind a bit of a squeeze. The hotel staff at the pool, reception and valet were to notch and made our stay most enjoyable. Only one mile from Galleria Mall which has many restaurants and a food court, and across the street from that is a local Publix. Morning coffee is free from the breakfast restaurant on the sixth floor!! Allow an additional $35 a day for valet parking, a bit pricy, but honestly the most convenient for the duration of our stay. We look forward to staying again in the future when we will be in town visiting family. Karim provided all necessary information to make sure our stay was an absolute pleasure.","Hello Karim,thanks for you place it was fantastic.hope to come back again.","We spent 3 days at Jon & Janice's place with our three teenage boys during the 2nd week of March 2013. We didn't get to meet Janice who did all the correspondence, but the check in was easy and we appreciated her quick response whenever needed. Janice‘s place was just as shown on the pictures. Well equipped, convenient and clean. The only inconvenience (especially for our three teenage boys) to be worth mentioned was the missing internet access. The house is located near the intercoastal, so Sawgrass Mills Malls, Miami Beach and not to forget Miami Airport were within easy reach. We had a nice stay, thank you!
TH & family"
